Order,AlphaPop,FamilyNum,Population,Family,Dam,Sire,Rep,Treatment,TempTrt,WaterTrt,Block,Col,Row,GermDate,MinGermDay,MaxGermDay,Transplant,,LLL_0512,LLL_0515,LLL_0520,LLL_0523,LLL_0526,LLL_0529,LLL_0602,LLL_0605,LLL_0609,LLL_0612,Notes,UseForLLLGrowth,Height_0529,Height_0602,Height_0605,Height_0609,Height_0612,Height_0616,Height_0620,UseForHeightGrowth,,WiltStatus_0612,Flower Date,StigmaAntherSep,FlwrHeight,FlwrWidth,FlwrLength,Flwr Notes,,LeafCollectionDate,UppTrichomeNo,LowTrichomeNo,Length_mm,LeafNotes1,LeafFW_g,LeafDW_g,LeafNotes2,LeafArea_cm2,,DiedFromStress,HarvestDate,NFlwr,Nbud,HarvestNotes,UseForBiomass,LeavesDW_g,ShootsDW_g,RootsDW_g,Notes,,,,,,,,,FlowerDate,StigmaAntherSep,FlwrHeight,FlwrWidth,FlwrLength,FlwrNotes,,,,,,,,,,,,,
27,1,11,Cottonwood Creek,370a,,,A,Hot/Dry,Hot,Dry,MM5-1,L,1,plain,6,7,N,,1.75,3.97,11.2,16.69,32.74,49.3,66.9,73,NA,NA,,TRUE,0.8,2.6,NA,13.4,13,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2,1,Cuyamaca Rancho,CUR1,AA1404,AA1405,A,Hot/Dry,Hot,Dry,MM5-1,M,1,blue,11,11,N,,< 1,0.72,6.78,13.52,24.81,36.49,52.8,54.2,NA,NA,,TRUE,0.6,2.1,NA,12.5,13,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
151,3,1,Deep Creek,DPC1,AA1535,JP0779,B,Hot/Dry,Hot,Dry,MM5-1,N,1,green,8,8,N,,2.46,6.45,17.12,25.66,36.69,55.77,65.7,68.7,NA,NA,,TRUE,1.4,2.5,NA,12.1,NA,NA,NA,TRUE,,wilted,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
165,4,3,Grade Road Palomar,GRP3,JP0989,JP0992,B,Hot/Dry,Hot,Dry,MM5-1,A,2,plain,6,7,N,,3.53,6.99,15.24,30.48,42.19,56.39,72,90.9,NA,NA,,TRUE,2,4.7,NA,11.5,11.6,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5,9,Hauser Creek,HAU9,AW1133,AW1128,A,Hot/Dry,Hot,Dry,MM5-1,B,2,plain,6,7,N,,1.45,4.53,14.8,23.78,39.27,51.88,91.3,85.7,NA,NA,,TRUE,2.4,5.1,NA,15.9,NA,NA,NA,TRUE,,wilted,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
119,6,11,Little Jameson,LIJ11,AA1385,AA1380,A,Hot/Dry,Hot,Dry,MM5-1,C,2,plain,6,7,N,,< 1,1.13,3.6,5.82,6.98,NA,NA,NA,NA,NA,died,TRUE,NA,NA,NA,NA,NA,NA,NA,FALSE,,NA,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
137,7,5,Middle Yuba,MYU5,JP0623,JP0621,A,Hot/Dry,Hot,Dry,MM5-1,D,2,no toothpick; germination,12,17,N,,< 1,1.58,6.6,10.56,16.38,26.42,31.6,46.4,NA,NA,,TRUE,0.5,2.4,NA,18.7,12.4,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
57,8,9,Mill Creek,MIL9,EH0057,EH0053,A,Hot/Dry,Hot,Dry,MM5-1,E,2,no toothpick; germination,12,17,N,,3.03,6.19,16.05,22.2,31.99,53.53,63.7,68.6,NA,NA,sand partially fell through; plant still alive,TRUE,3.6,7,NA,20.5,25.2,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,65,57,15.5,,0.5116,0.0415,,,,NA,07-Jul,2,7,halfway down in container,FALSE,0.4800,1.2200,0.1666,,NA,,,,,,,,25-Jun,3.9,26,10.8,34,,,,,,,,,,,,,,
123,9,2,North Fork Middle Tule,NMT2,AA1517,EH0014,A,Hot/Dry,Hot,Dry,MM5-1,F,2,plain,6,7,N,,2.69,6.73,16.58,25.8,44.16,57.4,76,81.6,NA,NA,,TRUE,0.8,3.8,NA,13.5,13.9,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
173,10,5,Paradise Creek,PRD5,AA1429,AA1427,A,Hot/Dry,Hot,Dry,MM5-1,G,2,plain,6,7,N,,1.5,4.76,13.27,21.63,36.72,48.74,69,80.4,NA,NA,,TRUE,1.4,4.6,NA,17.5,16.7,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
