Order,AlphaPop,FamilyNum,Population,Family,Dam,Sire,Rep,Treatment,TempTrt,WaterTrt,Block,Col,Row,GermDate,MinGermDay,MaxGermDay,Transplant,,LLL_0512,LLL_0515,LLL_0520,LLL_0523,LLL_0526,LLL_0529,LLL_0602,LLL_0605,LLL_0609,LLL_0612,Notes,UseForLLLGrowth,Height_0529,Height_0602,Height_0605,Height_0609,Height_0612,Height_0616,Height_0620,UseForHeightGrowth,,WiltStatus_0612,Flower Date,StigmaAntherSep,FlwrHeight,FlwrWidth,FlwrLength,Flwr Notes,,LeafCollectionDate,UppTrichomeNo,LowTrichomeNo,Length_mm,LeafNotes1,LeafFW_g,LeafDW_g,LeafNotes2,LeafArea_cm2,,DiedFromStress,HarvestDate,NFlwr,Nbud,HarvestNotes,UseForBiomass,LeavesDW_g,ShootsDW_g,RootsDW_g,Notes,,,,,,,,,FlowerDate,StigmaAntherSep,FlwrHeight,FlwrWidth,FlwrLength,FlwrNotes,,,,,,,,,,,,,
277,2,1,Cuyamaca Rancho,CUR1,AA1404,AA1405,A,Hot/Wet,Hot,Wet,MM5-3,L,1,red,9,9,N,,< 1,0.89,2.94,5.28,8.37,16.34,23.4,29.7,NA,NA,,TRUE,0,1.3,NA,7.6,8.5,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
347,3,5,Deep Creek,DPC5,JP0785,AA1535,B,Hot/Wet,Hot,Wet,MM5-3,M,1,green,8,8,N,,3.57,5.55,12.64,26.36,37.47,54.38,73.1,88.9,NA,NA,,TRUE,1.3,3.9,NA,20.5,25.5,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,48,30,13.7,,0.3352,0.053,,,,FALSE,05-Jul,9,17,,TRUE,2.5500,3.5000,0.5466,,6.5966,,,,,,,,27-Jun,1.8 (stigma bwt anthers),39.4,16.4,41.6,anthers above stigma; anthers touching,,,,,,,,,,,,,
349,4,1,Grade Road Palomar,GRP1,JP0987,JP0986,A,Hot/Wet,Hot,Wet,MM5-3,N,1,green,8,8,N,,2.58,5.15,14.25,27.57,45.89,68.69,73.9,96.2,NA,NA,,TRUE,4.1,9.5,NA,21,24,NA,NA,TRUE,,turgid,14-Jun,0,32.8,17.9,34.8,anthers above stigma; anthers touching,,18-Jun,55,49,11.4,,,,,,,FALSE,05-Jul,70,37,,TRUE,4.1400,7.8900,0.5196,,12.5496,,,,,,,,14-Jun,0,32.8,17.9,34.8,anthers above stigma; anthers touching,,,,,,,,,,,,,
231,5,3,Hauser Creek,HAU3,AA1597,AW1133,A,Hot/Wet,Hot,Wet,MM5-3,A,2,plain,6,7,N,,2.35,5.67,17.54,29.1,47.84,71.4,77.7,87.5,NA,NA,,TRUE,2.5,6.4,NA,22,27.8,NA,NA,TRUE,,turgid,16-Jun,5,37.8,21.2,38.1,,,18-Jun,17,29,12.2,,0.2344,0.0356,,,,FALSE,04-Jul,33,36,,TRUE,2.3400,4.1600,0.6277,,7.1277,,,,,,,,16-Jun,5,37.8,21.2,38.1,,,,,,,,,,,,,,
303,6,3,Little Jameson,LIJ3,AA1379,AA1378,A,Hot/Wet,Hot,Wet,MM5-3,B,2,yellow,10,10,N,,1.87,4.02,8.89,12.09,19.98,30.1,26.4,50.8,NA,NA,,TRUE,0,1.5,NA,12.5,15.5,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,29,25,11.8,,,,,,,FALSE,04-Jul,0,0,,TRUE,0.0381,0.0750,0.0242,,0.1373,,,,,,,,,,,,,,,,,,,,,,,,,,
331,7,1,Middle Yuba,MYU1,JP0618,JP0619,B,Hot/Wet,Hot,Wet,MM5-3,C,2,plain,6,7,N,,< 1,1.02,5.95,12.05,18.19,28.53,42.2,57.5,NA,NA,,TRUE,0,2.5,NA,17,21,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,26,13,10,,,,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
249,8,9,Mill Creek,MIL9,EH0057,EH0053,A,Hot/Wet,Hot,Wet,MM5-3,D,2,plain,6,7,N,,< 1,1.29,6.27,11.32,20.08,31.57,45.7,51.5,NA,NA,,TRUE,0.9,4.8,NA,21.5,23.4,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,34,28,6.6,,,,,,,FALSE,04-Jul,0,0,,TRUE,0.0718,0.1352,0.0300,,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,
319,9,5,North Fork Middle Tule,NMT5,EH0012,AA1519,A,Hot/Wet,Hot,Wet,MM5-3,E,2,no toothpick; germination,12,17,N,,< 1,2.31,9.29,17.91,21.97,34.52,33,30.5,NA,NA,,TRUE,0,1.6,NA,5.5,5.9,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,27,24,7.4,,,,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
369,10,7,Paradise Creek,PRD7,EH0011,AA1431,B,Hot/Wet,Hot,Wet,MM5-3,F,2,yellow,10,10,N,,< 1,1.81,10.81,18.7,30.56,51.1,75.4,69.8,NA,NA,,TRUE,1.2,5.4,NA,26,32.5,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,56,45,17.3,,,,,,,FALSE,04-Jul,2,6,,TRUE,1.7900,2.5300,0.7634,,5.0834,,,,,,,,-,3.07,27.11,9.61,34.44,,,,,,,,,,,,,,
377,11,1,Rainbow Pool,RBW1,AA0656,AA0563,B,Hot/Wet,Hot,Wet,MM5-3,G,2,plain,6,7,N,,3.29,5.15,12.34,20.27,33.89,39.54,55.8,66.4,NA,NA,,TRUE,1.5,5.9,NA,22.5,27.5,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,71,48,20.1,,,,,,,FALSE,04-Jul,1,5,,TRUE,1.0200,1.3000,0.2874,,2.6074,,,,,,,,24-Jun,2.68,26.7,9.15,35.44,wilted; measurement collected from harvest,,,,,,,,,,,,,
259,12,5,Redwood Creek,RWD5,EH0006,EH0009,B,Hot/Wet,Hot,Wet,MM5-3,H,2,plain,6,7,N,,0.96,4.87,17.67,26.04,45.36,67.16,67.5,96.5,NA,NA,stakes changed from RWD6 to RWD5 B,TRUE,2.9,7.9,NA,29,38.5,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,41,30,13.8,,0.3454,0.0484,,,,FALSE,04-Jul,8,23,,TRUE,2.2500,5.1900,0.8330,,8.273,,,,,,,,,,,,,,,,,,,,,,,,,,
195,13,3,Rock Creek,004aN1,,,A,Hot/Wet,Hot,Wet,MM5-3,I,2,blue,11,11,N,,2.81,7.29,18.03,29.7,39.64,50.77,56.4,59.7,NA,NA,,TRUE,2.4,5.1,NA,23,28.4,NA,NA,TRUE,,turgid,16-Jun,,,,,,,18-Jun,11,15,7.5,,,,,,,FALSE,04-Jul,9,0,,TRUE,0.4000,0.7100,0.1600,,1.27,,,,,,,,16-Jun,3.7,22.8,11.9,31.1,,,,,,,,,,,,,,
213,14,9,Wawona,190aC2,,,A,Hot/Wet,Hot,Wet,MM5-3,J,2,plain,6,7,N,,< 1,2.85,9.98,14.93,28.19,38.03,42,69.5,NA,NA,,TRUE,1.2,4.5,NA,22.5,25.5,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,42,25,10.2,,0.171,0.0195,,,,FALSE,04-Jul,0,0,,TRUE,0.2631,0.4333,0.1600,,0.8564,,,,,,,,,,,,,,,,,,,,,,,,,,
293,15,5,West Fork Mojave River,WFM5,EH0018,EH0024,A,Hot/Wet,Hot,Wet,MM5-3,K,2,plain,6,7,N,,< 1,1.15,7.42,12.73,24.07,38.11,58.9,65.1,NA,NA,,TRUE,0,3.2,NA,25,26,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,51,47,13.7,,,,,,,FALSE,04-Jul,0,6,,TRUE,0.4600,0.8200,0.2300,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,
267,16,3,Whitewater Canyon,WWC3,EH0028,EH0032,A,Hot/Wet,Hot,Wet,MM5-3,L,2,green,8,8,N,,3.29,7.41,14.42,31.23,39.64,52.37,65.6,70.9,NA,NA,,TRUE,2.2,5.3,NA,24.5,31,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,75,63,17.1,,0.4217,0.0445,,,,FALSE,04-Jul,4,11,,TRUE,1.6400,3.1200,0.4500,,5.21,,,,,,,,-,1.84,25.22,17.62,28.91,,,,,,,,,,,,,,
221,1,7,Cottonwood Creek,356a,,,A,Hot/Wet,Hot,Wet,MM5-3,M,2,red,9,9,N,,< 1,2.15,11.6,22.57,35.13,59.51,72.7,82.3,NA,NA,,TRUE,2.5,7.3,NA,23.4,28.9,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,54,32,13,,,,,,,FALSE,04-Jul,0,3,,TRUE,1.9800,2.6500,0.5709,,5.2009,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2,3,Cuyamaca Rancho,CUR3,AA1406,AA1404,A,Hot/Wet,Hot,Wet,MM5-3,N,2,plain,6,7,N,,5.62,9.44,24.76,40.9,63.11,81.03,94.7,99.6,NA,NA,,TRUE,3.9,8.1,NA,22.5,25.2,NA,NA,TRUE,,turgid,16-Jun,2,33.2,20.3,37.3,stigma anther sep - notice variability among flowers (no sep; some sep; etc.),,18-Jun,60,55,11.1,,,,,,,FALSE,04-Jul,66,8,,TRUE,1.9700,5.3600,0.3058,,7.6358,,,,,,,,16-Jun,2,33.2,20.3,37.3,notice variability among flowers for stigmaanthersep (no sep; some sepÉ),,,,,,,,,,,,,
345,3,3,Deep Creek,DPC3,AA1535,JP0786,B,Hot/Wet,Hot,Wet,MM5-3,A,3,plain,6,7,N,,1.02,3.13,12.28,18.18,35.66,39.72,49.5,51.9,NA,NA,,TRUE,1.1,2.2,NA,6,7.1,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,38,33,11.5,,,,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
355,4,7,Grade Road Palomar,GRP7,JP0996,JP0088,A,Hot/Wet,Hot,Wet,MM5-3,B,3,plain,6,7,N,,1.72,5.12,16.92,25.4,45.33,54.74,75.4,96.7,NA,NA,,TRUE,2.1,6.6,NA,25,30.5,NA,NA,TRUE,,turgid,22-Jun,,,,,,,18-Jun,62,54,12.5,,,,,,,FALSE,04-Jul,1,0,most leaves dead,TRUE,0.2327,1.6900,0.1946,,2.1173,,,,,,,,22-Jun,3.8,28.8,8.6,26.6,,,,,,,,,,,,,,
237,5,9,Hauser Creek,HAU9,AW1133,AW1128,A,Hot/Wet,Hot,Wet,MM5-3,C,3,green,8,8,N,,< 1,< 1,4.42,10.94,20.95,30.92,50.2,72.3,NA,NA,,TRUE,0,3.6,NA,25.3,27.5,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,31,27,12.6,,,,,,,FALSE,04-Jul,0,0,,TRUE,0.3910,0.5900,0.1128,,1.0938,,,,,,,,,,,,,,,,,,,,,,,,,,
301,6,1,Little Jameson,LIJ1,AA1378,AA1380,A,Hot/Wet,Hot,Wet,MM5-3,D,3,no toothpick; germination,12,17,N,,< 1,0.58,3.44,8.64,14.07,17.82,31.2,27.2,NA,NA,,TRUE,0,1.3,NA,3.5,3.8,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,17,11,5.3,,,,,,,FALSE,04-Jul,0,0,very small; root biomass lost,FALSE,0.0124,0.0113,NA,root lost; not collected,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
327,7,3,Middle Yuba,MYU3,JP0619,JP0624,A,Hot/Wet,Hot,Wet,MM5-3,E,3,red,9,9,N,,1.44,3.49,11.45,16.35,30.89,43.71,60.4,65.7,NA,NA,,TRUE,1.1,4.7,NA,22.5,26.2,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,FALSE,04-Jul,0,0,,TRUE,0.2221,0.5600,0.1100,,0.8921,,,,,,,,,,,,,,,,,,,,,,,,,,
245,8,5,Mill Creek,MIL5,EH0054,AA1502,A,Hot/Wet,Hot,Wet,MM5-3,F,3,plain,6,7,N,,1.09,2.71,8.52,19.71,26.93,42.83,55.4,73.4,NA,NA,,TRUE,2.1,8.2,NA,25.6,32.1,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,42,48,11.8,,0.3085,0.031,,,,FALSE,04-Jul,0,2,,TRUE,0.3847,0.8600,0.1667,,1.4114,,,,,,,,,,,,,,,,,,,,,,,,,,
323,9,7,North Fork Middle Tule,NMT7,EH0014,AA1519,B,Hot/Wet,Hot,Wet,MM5-3,G,3,plain,6,7,N,,3.37,7.71,18.99,31.1,45.05,61.19,79.7,94.9,NA,NA,,TRUE,2,7.1,NA,28.3,34.9,NA,NA,TRUE,,turgid,20-Jun,,,,,,,18-Jun,22,15,13.7,,0.2797,0.0369,,,,FALSE,04-Jul,16,10,,TRUE,2.7800,4.9900,0.8600,,8.63,,,,,,,,20-Jun,1.99,27.71,8.34,32.6,flowers wilted; measurements collected from harvest,,,,,,,,,,,,,
371,10,3,Paradise Creek,PRD3,AA1427,AA1428,B,Hot/Wet,Hot,Wet,MM5-3,H,3,red,9,9,N,,< 1,1.49,8.95,14.72,22.99,38.38,48.7,55.8,NA,NA,,TRUE,0.5,2.9,NA,29.9,20.4,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,24,20,8,,0.0777,0.0069,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
379,11,3,Rainbow Pool,RBW3,AA0563,AA0565,B,Hot/Wet,Hot,Wet,MM5-3,I,3,plain,6,7,N,,2.34,4.33,13.55,23.99,42.33,61.26,86.3,107.7,NA,NA,,TRUE,2.2,6,NA,24,32.5,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,47,51,11.9,,0.2614,0.0397,,,,FALSE,04-Jul,4,10,,TRUE,2.9100,3.8100,0.9686,,7.6886,,,,,,,,-,1.11,29.41,12.24,40.9,,,,,,,,,,,,,,
255,12,2,Redwood Creek,RWD2,AA1541,EH0005,A,Hot/Wet,Hot,Wet,MM5-3,J,3,plain,6,7,N,,5.59,9.49,19.49,31.66,44.52,59.05,80,89.2,NA,NA,,TRUE,3.1,4.1,NA,27.6,35,NA,NA,TRUE,,turgid,16-Jun,,,,,,,18-Jun,31,36,12.3,,0.2727,0.0426,,,,FALSE,04-Jul,15,24,,TRUE,2.5000,3.1300,0.5660,,6.196,,,,,,,,16-Jun,3.7,31.5,10.4,23.6,,,,,,,,,,,,,,
193,13,1,Rock Creek,001aN1,,,A,Hot/Wet,Hot,Wet,MM5-3,K,3,plain,6,7,N,,< 1,0.94,6.89,11.9,19.48,28.58,36.9,43.2,NA,NA,,TRUE,0,3.1,NA,17.6,19.4,NA,NA,TRUE,,turgid,,,,,,,,wilted,NA,NA,NA,,NA,NA,,,,FALSE,04-Jul,0,0,,TRUE,0.0493,0.1010,0.0121,,0.1624,,,,,,,,,,,,,,,,,,,,,,,,,,
215,14,11,Wawona,192aC2,,,A,Hot/Wet,Hot,Wet,MM5-3,L,3,plain,6,7,N,,< 1,< 1,3.35,9.51,16.07,23.55,37.4,45.7,NA,NA,,TRUE,0,1.9,NA,10.4,12,NA,NA,TRUE,,turgid,,,,,,,,not collected,NA,NA,NA,,NA,NA,,,,FALSE,04-Jul,0,0,,TRUE,0.0751,0.0841,0.0369,,0.1961,,,,,,,,,,,,,,,,,,,,,,,,,,
289,15,1,West Fork Mojave River,WFM1,AA1416,EH0017,A,Hot/Wet,Hot,Wet,MM5-3,M,3,green,8,8,N,,2.92,4.85,12.31,19.67,37.75,47.33,71.9,91.6,NA,NA,,TRUE,1.3,4.5,NA,22.4,28.5,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,12,9,5.1,,0.0426,0.0019,,,,FALSE,04-Jul,6,13,,TRUE,1.6300,2.5700,0.3842,,4.5842,,,,,,,,-,2.14,29.95,14.76,25.9,,,,,,,,,,,,,,
275,16,11,Whitewater Canyon,WWC11,EH0034,EH0033,A,Hot/Wet,Hot,Wet,MM5-3,N,3,yellow,10,10,N,,1.07,3.77,15.56,23.33,33.54,54.93,65.4,63.7,NA,NA,,TRUE,2.6,6.1,NA,23.2,27.5,NA,NA,TRUE,,turgid,16-Jun,2.1,34.3,11.2,35.3,,,18-Jun,41,43,12.2,,0.3294,0.0444,,,,FALSE,04-Jul,28,18,,TRUE,1.3400,3.0300,0.2759,,4.6459,,,,,,,,16-Jun,2.1,34.3,11.2,35.3,,,,,,,,,,,,,,
217,1,6,Cottonwood Creek,355a,,,A,Hot/Wet,Hot,Wet,MM5-3,A,4,green,8,8,N,,2.5,3.76,11.02,19.72,38.06,58.23,81,91.3,NA,NA,,TRUE,2.6,6,NA,24.5,31.2,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,46,40,12.6,,0.358,0.0414,,,,FALSE,04-Jul,0,7,,TRUE,0.7576,2.3700,0.3563,,3.4839,,,,,,,,,,,,,,,,,,,,,,,,,,
281,2,5,Cuyamaca Rancho,CUR5,AA1410,AA1413,A,Hot/Wet,Hot,Wet,MM5-3,B,4,green,8,8,N,,< 1,1.67,9.27,18.41,27.41,50.72,47.2,63.8,NA,NA,,TRUE,1.2,5.1,NA,20.3,27.1,NA,NA,TRUE,,turgid,,,,,,,,18-Jun,47,48,13.5,,0.2655,0.035,,,,FALSE,04-Jul,0,4,,TRUE,0.6500,1.0700,0.2057,,1.9257,,,,,,,,,,,,,,,,,,,,,,,,,,
337,3,1,Deep Creek,DPC1,AA1535,JP0779,A,Hot/Wet,Hot,Wet,MM5-3,C,4,no toothpick; germination,12,17,N,,< 1,1.49,12.57,24.13,36.02,NA,NA,NA,NA,NA,died; sand fell through,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,,NA,,,,,,,,18-Jun,61,48,16.3,,0.2538,0.0255,,,,NA,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
357,4,3,Grade Road Palomar,GRP3,JP0989,JP0992,B,Hot/Wet,Hot,Wet,MM5-3,D,4,green,8,8,N,,1.27,4.16,12.99,20.73,40.75,51.75,74.7,84.8,NA,NA,,TRUE,1.9,6.1,NA,24.6,29.9,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,49,58,13,,0.273,0.0348,,,,FALSE,04-Jul,5,10,,TRUE,1.6400,2.5200,0.4967,,4.6567,,,,,,,,-,3.33,32.82,9,26.18,,,,,,,,,,,,,,
239,5,11,Hauser Creek,HAU11,AW1135,AW1130,A,Hot/Wet,Hot,Wet,MM5-3,E,4,plain,6,7,N,,2.32,5.61,15.23,22.53,38.54,49.42,51.6,67.9,NA,NA,,TRUE,1.1,6.1,NA,24.4,27.8,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,40,45,9,,0.1358,0.0168,,,,FALSE,04-Jul,0,0,,TRUE,0.5800,0.6000,0.2400,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,
307,6,7,Little Jameson,LIJ7,AA1383,AA1385,A,Hot/Wet,Hot,Wet,MM5-3,F,4,red,9,9,N,,1.08,2.88,10.29,17.64,27.16,41.31,50.8,82.8,NA,NA,,TRUE,1.1,4.9,NA,24.5,28.4,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,52,50,11.9,,,,,,,FALSE,04-Jul,0,0,,TRUE,0.0776,0.4400,0.0771,,0.5947,,,,,,,,,,,,,,,,,,,,,,,,,,
333,7,3,Middle Yuba,MYU3,JP0619,JP0624,B,Hot/Wet,Hot,Wet,MM5-3,G,4,no toothpick; germination,12,17,N,,< 1,0.54,4.83,11.23,17.75,30.05,28.4,40.5,NA,NA,,TRUE,0,4.3,NA,15,17.3,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,NA,NA,NA,,0.0128,0.0009,no stomata,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
241,8,1,Mill Creek,MIL1,AA1502,EH0053,A,Hot/Wet,Hot,Wet,MM5-3,H,4,plain,6,7,N,,3.97,6.71,13.78,24.89,32.87,41.38,55.1,72.8,NA,NA,,TRUE,1.3,4.5,NA,25.3,29,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,78,41,6.7,,0.0881,0.0065,,,,FALSE,04-Jul,0,0,,TRUE,0.1186,0.4400,0.1029,,0.6615,,,,,,,,,,,,,,,,,,,,,,,,,,
315,9,2,North Fork Middle Tule,NMT2,AA1517,EH0014,A,Hot/Wet,Hot,Wet,MM5-3,I,4,plain,6,7,N,,< 1,1.21,7.42,14.99,21.82,32.62,38.7,39,NA,NA,,TRUE,0,1.5,NA,7.5,9.5,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,16,20,2.2,,0.0185,0.0016,no stomata; too small,,,FALSE,04-Jul,0,0,,TRUE,0.0405,0.0338,0.0833,,0.1576,,,,,,,,,,,,,,,,,,,,,,,,,,
363,10,3,Paradise Creek,PRD3,AA1427,AA1428,A,Hot/Wet,Hot,Wet,MM5-3,J,4,green,8,8,N,,< 1,1.2,7.87,15.41,24.37,42.83,52.6,67.7,NA,NA,,TRUE,0,2,NA,5,12.1,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,NA,NA,NA,,NA,NA,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
373,11,1,Rainbow Pool,RBW1,AA0656,AA0563,A,Hot/Wet,Hot,Wet,MM5-3,K,4,plain,6,7,N,,< 1,2.71,12.41,21.31,32.89,44.16,73.8,74.7,NA,NA,,TRUE,1.1,3.8,NA,18.1,24.2,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,69,44,12.8,,0.381,0.0557,,,,FALSE,04-Jul,0,0,,TRUE,1.2300,1.1500,0.6202,,3.0002,,,,,,,,,,,,,,,,,,,,,,,,,,
261,12,7,Redwood Creek,RWD7,EH0007,EH0006,B,Hot/Wet,Hot,Wet,MM5-3,L,4,plain,6,7,N,,2.65,5.06,11.19,22.48,39.24,57.76,73.6,88.6,NA,NA,,TRUE,1.5,5.6,NA,21.5,26.1,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,56,70,8.3,,0.1247,0.0242,,,,FALSE,04-Jul,4,8,,TRUE,1.2600,1.7600,0.4352,,3.4552,,,,,,,,-,0.88,25.04,9.14,28.6,,,,,,,,,,,,,,
201,13,9,Rock Creek,012aN1,,,A,Hot/Wet,Hot,Wet,MM5-3,M,4,red,9,9,N,,< 1,2.99,7.88,12.53,30.72,34.56,57.8,79.5,NA,NA,,TRUE,1.4,5.1,NA,18.4,24.2,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,NA,NA,NA,,NA,NA,,,,FALSE,04-Jul,1,8,,TRUE,0.3842,0.6500,0.0883,,1.1225,,,,,,,,24-Jun,wilted,,,,,,,,,,,,,,,,,
211,14,7,Wawona,188aC2,,,A,Hot/Wet,Hot,Wet,MM5-3,N,4,green,8,8,N,,2.93,5.35,17.12,27.41,48.09,70.39,89.5,112.8,NA,NA,,TRUE,2.4,5.5,NA,19.6,25,NA,NA,TRUE,,turgid,18-Jun,8.1,35.9,15.6,39.9,,,25-Jun,25,52,7.4,,0.183,0.0269,,,,FALSE,04-Jul,51,24,,TRUE,2.9800,5.7300,0.5054,,9.2154,,,,,,,,18-Jun,8.1,35.9,15.6,39.9,,,,,,,,,,,,,,
297,15,9,West Fork Mojave River,WFM9,EH0024,EH0017,A,Hot/Wet,Hot,Wet,MM5-3,A,5,plain,6,7,N,,2.56,4.89,13.5,27.47,33.15,53.78,64.9,64.2,NA,NA,,TRUE,1.8,4.4,NA,21,25.5,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,45,48,12.5,,0.171,0.018,,,,FALSE,03-Jul,0,1,,TRUE,0.3500,1.0500,0.1294,,1.5294,,,,,,,,,,,,,,,,,,,,,,,,,,
273,16,9,Whitewater Canyon,WWC9,EH0032,EH0034,A,Hot/Wet,Hot,Wet,MM5-3,B,5,red,9,9,N,,1.3,3.42,9.16,14.28,26.36,38.5,46.8,45.7,NA,NA,,TRUE,2.1,5.8,NA,21.9,25.4,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,66,65,10,,0.1112,0.0082,,,,TRUE,,,,dead,FALSE,NA,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1,2,Cottonwood Creek,347a,,,A,Hot/Wet,Hot,Wet,MM5-3,C,5,no toothpick; germination,12,17,N,,< 1,0.43,6.11,13.64,25.01,40.46,59.3,75.9,NA,NA,,TRUE,0.8,4.8,NA,22.6,26.7,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,36,24,9.9,,0.1325,0.0144,,,,FALSE,03-Jul,0,0,,TRUE,0.0200,0.5200,0.0654,,0.6054,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,7,Sweetwater River,CUR7,AW1109,AW1111,A,Hot/Wet,Hot,Wet,MM5-3,D,5,plain,6,7,N,,1.61,4.25,13.45,24,41.68,52.52,72.4,84.3,NA,NA,,TRUE,1.2,5,NA,19.5,26.5,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,59,60,11.9,,0.1883,0.0219,,,,TRUE,,,,was this collected?,TRUE,0.6700,0.8500,0.2218,,1.7418,,,,,,,,,,,,,,,,,,,,,,,,,,
339,3,3,Deep Creek,DPC3,AA1535,JP0786,A,Hot/Wet,Hot,Wet,MM5-3,E,5,plain,6,7,N,,< 1,2.79,12.22,20.03,42.14,47.46,37.2,56.6,NA,NA,,TRUE,1.4,4.9,NA,16,20.5,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,64,57,12.5,,0.2144,0.0177,,,,FALSE,03-Jul,0,0,,TRUE,0.2200,0.3400,0.1018,,0.6618,,,,,,,,,,,,,,,,,,,,,,,,,,
359,4,5,Grade Road Palomar,GRP5,JP0993,JP0988,B,Hot/Wet,Hot,Wet,MM5-3,F,5,plain,6,7,N,,2.87,6.31,18.85,25.4,48.52,73.26,89.7,97.9,NA,NA,,TRUE,2.2,8,NA,25.5,31.1,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,93,84,13.6,,0.2266,0.0318,,,,FALSE,03-Jul,0,0,,TRUE,1.2400,1.6200,0.3600,,3.22,,,,,,,,24-Jun,3.9,33.06,12.89,25.75,wilted; measurements collected from harvest,,,,,,,,,,,,,
233,5,5,Hauser Creek,HAU5,AW1128,AW1129,A,Hot/Wet,Hot,Wet,MM5-3,G,5,plain,6,7,N,,2.31,4.2,12.23,19.6,38.93,55.06,71.1,82.1,NA,NA,,TRUE,1.6,6.3,NA,26.6,32.3,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,75,59,13.2,,0.2765,0.0382,,,,FALSE,03-Jul,6,10,,TRUE,2.0900,2.7800,0.4334,,5.3034,,,,,,,,24-Jun,3.4,28.4,12.8,36.5,,,,,,,,,,,,,,
305,6,5,Little Jameson,LIJ5,AA1380,AA1383,A,Hot/Wet,Hot,Wet,MM5-3,H,5,no toothpick; germination,12,17,N,,< 1,1.53,10.35,19.27,31.74,38.92,36,67,NA,NA,,TRUE,0,3.4,NA,20,22,NA,NA,TRUE,,turgid,,,,,,,,25-Jun,NA,NA,NA,,NA,NA,,,,FALSE,03-Jul,0,0,,TRUE,0.1100,0.2300,0.0400,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,
