"indiv","Block","Col","Row","Population","Family","TempTrt","WaterTrt"
"93","MM5-1","L","7","Hauser Creek","HAU5","Hot","Dry"
"97","MM5-2","A","1","Hauser Creek","HAU12","Hot","Dry"
"98","MM5-2","B","1","Little Jameson","LIJ2","Hot","Dry"
"99","MM5-2","C","1","Middle Yuba","MYU6","Hot","Dry"
"100","MM5-2","D","1","Mill Creek","MIL12","Hot","Dry"
"101","MM5-2","E","1","North Fork Middle Tule","NMT7","Hot","Dry"
"102","MM5-2","F","1","Paradise Creek","PRD2","Hot","Dry"
"103","MM5-2","G","1","Rainbow Pool","RBW4","Hot","Dry"
"104","MM5-2","H","1","Redwood Creek","RWD2","Hot","Dry"
"105","MM5-2","I","1","Rock Creek","013aN1","Hot","Dry"
"106","MM5-2","J","1","Wawona","185aC2","Hot","Dry"
"107","MM5-2","K","1","West Fork Mojave River","WFM8","Hot","Dry"
"108","MM5-2","L","1","Whitewater Canyon","WWC4","Hot","Dry"
"109","MM5-2","M","1","Cottonwood Creek","362a","Hot","Dry"
"110","MM5-2","N","1","Cuyamaca Rancho","CUR6","Hot","Dry"
"111","MM5-2","A","2","Deep Creek","DPC4","Hot","Dry"
"112","MM5-2","B","2","Grade Road Palomar","GRP2","Hot","Dry"
"113","MM5-2","C","2","Hauser Creek","HAU8","Hot","Dry"
"114","MM5-2","D","2","Little Jameson","LIJ8","Hot","Dry"
"115","MM5-2","E","2","Middle Yuba","MYU6","Hot","Dry"
"116","MM5-2","F","2","Mill Creek","MIL6","Hot","Dry"
"117","MM5-2","G","2","North Fork Middle Tule","NMT5","Hot","Dry"
"118","MM5-2","H","2","Paradise Creek","PRD7","Hot","Dry"
"119","MM5-2","I","2","Rainbow Pool","RBW2","Hot","Dry"
"120","MM5-2","J","2","Redwood Creek","RWD8","Hot","Dry"
"121","MM5-2","K","2","Rock Creek","015aN1","Hot","Dry"
"122","MM5-2","L","2","Wawona","193aC2","Hot","Dry"
"123","MM5-2","M","2","West Fork Mojave River","WFM6","Hot","Dry"
"124","MM5-2","N","2","Whitewater Canyon","WWC10","Hot","Dry"
"125","MM5-2","A","3","Cottonwood Creek","348a","Hot","Dry"
"126","MM5-2","B","3","Cuyamaca Rancho","CUR8","Hot","Dry"
"127","MM5-2","C","3","Deep Creek","DPC2","Hot","Dry"
"128","MM5-2","D","3","Grade Road Palomar","GRP6","Hot","Dry"
"129","MM5-2","E","3","Hauser Creek","HAU6","Hot","Dry"
"130","MM5-2","F","3","Little Jameson","LIJ4","Hot","Dry"
"131","MM5-2","G","3","Middle Yuba","MYU2","Hot","Dry"
"132","MM5-2","H","3","Mill Creek","MIL2","Hot","Dry"
"133","MM5-2","I","3","North Fork Middle Tule","NMT3","Hot","Dry"
"134","MM5-2","J","3","Paradise Creek","PRD6","Hot","Dry"
"135","MM5-2","K","3","Rainbow Pool","RBW4","Hot","Dry"
"136","MM5-2","L","3","Redwood Creek","RWD5","Hot","Dry"
"137","MM5-2","M","3","Rock Creek","007aN1","Hot","Dry"
"138","MM5-2","N","3","Wawona","189aC2","Hot","Dry"
"139","MM5-2","A","4","West Fork Mojave River","WFM2","Hot","Dry"
"140","MM5-2","B","4","Whitewater Canyon","WWC8","Hot","Dry"
"142","MM5-2","D","4","Cuyamaca Rancho","CUR2","Hot","Dry"
"144","MM5-2","F","4","Grade Road Palomar","GRP6","Hot","Dry"
"145","MM5-2","G","4","Hauser Creek","HAU2","Hot","Dry"
"146","MM5-2","H","4","Little Jameson","LIJ6","Hot","Dry"
"147","MM5-2","I","4","Middle Yuba","MYU2","Hot","Dry"
"149","MM5-2","K","4","North Fork Middle Tule","NMT1","Hot","Dry"
"150","MM5-2","L","4","Rainbow Pool","RBW2","Hot","Dry"
"151","MM5-2","M","4","Redwood Creek","RWD10","Hot","Dry"
"153","MM5-2","A","5","Wawona","187aC2","Hot","Dry"
"154","MM5-2","B","5","West Fork Mojave River","WFM10","Hot","Dry"
"155","MM5-2","C","5","Whitewater Canyon","WWC6","Hot","Dry"
"156","MM5-2","D","5","Cottonwood Creek","361a","Hot","Dry"
"157","MM5-2","E","5","Cuyamaca Rancho","CUR10","Hot","Dry"
"158","MM5-2","F","5","Deep Creek","DPC4","Hot","Dry"
"159","MM5-2","G","5","Grade Road Palomar","GRP2","Hot","Dry"
"160","MM5-2","H","5","Hauser Creek","HAU10","Hot","Dry"
"161","MM5-2","I","5","Little Jameson","LIJ10","Hot","Dry"
